sid_x,"S1.W1
Monday (03-10-2022)
09:00 - 10:00
Lecture
U020
","S1.W1
Wednesday (05-10-2022)
10:00 - 11:00
Lecture
SMB014
","S1.W2
Wednesday (12-10-2022)
10:00 - 11:00
Lecture
SMB014
","S1.W2
Wednesday (12-10-2022)
12:00 - 13:00
Tutorial

","S1.W2
Thursday (13-10-2022)
14:00 - 15:00
Lecture
CC011
","S1.W3
Wednesday (19-10-2022)
10:00 - 11:00
Lecture
SMB014
","S1.W3
Wednesday (19-10-2022)
12:00 - 13:00
Tutorial

","S1.W3
Thursday (20-10-2022)
14:00 - 15:00
Lecture
CC011
","S1.W4
Wednesday (26-10-2022)
10:00 - 11:00
Lecture
SMB014
","S1.W4
Wednesday (26-10-2022)
12:00 - 13:00
Tutorial

","S1.W4
Thursday (27-10-2022)
14:00 - 15:00
Lecture
CC011
","S1.W5
Wednesday (02-11-2022)
10:00 - 11:00
Lecture
SMB014
","S1.W5
Wednesday (02-11-2022)
12:00 - 13:00
Tutorial

","S1.W5
Thursday (03-11-2022)
14:00 - 15:00
Lecture
CC011
"
224,GPS,GPS,GPS,,X,X,,X,X,,GPS,X,,GPS
225,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
226,GPS,Ex,GPS,,GPS,X,,GPS,GPS,,GPS,GPS,,GPS
227,,,,,,,,,,,,,,
228,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
229,GPS,X,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
230,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
231,,,,,,,,,,,,,,
232,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
233,GPS,Ex,X,,GPS,GPS,,GPS,GPS,,GPS,X,,X
234,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
235,GPS,GPS,X,,GPS,X,,X,GPS,,GPS,GPS,,GPS
236,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
237,GPS,X,GPS,,GPS,X,,GPS,GPS,,GPS,GPS,,GPS
238,X,X,GPS,,GPS,X,,GPS,GPS,,GPS,GPS,,GPS
239,GPS,X,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,X
240,GPS,GPS,GPS,,GPS,X,,GPS,GPS,,GPS,GPS,,GPS
241,GPS,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS,GPS,,GPS
242,X,X,X,,X,X,,X,,,,,,
